API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$expand=CAT_HW_PRODUCT,CAT_MANUFACTURER&$top=10	52.4260001183	200	10	0.019279296875MB	2017-06-14 18:41:26.157000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Core%20i5%20Mobile%20Processor%20i5-4350U%201.40%20GHz%20%28Haswell%29'&$top=10	7.15799999237	200	0	0.00011328125MB	2017-06-14 18:41:35.941000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Athlon%20900%20Processor%20900%20MHz'&$top=10	5.1400001049	200	0	0.00011328125MB	2017-06-14 18:41:41.082000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Athlon%2064%20FX-53%20Processor%202.40%20GHz%20%28SledgeHammer%29'&$top=10	7.61599993706	200	0	0.00011328125MB	2017-06-14 18:41:48.699000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20E3-1220L%20Processor%202.20%20GHz%20%28Sandy%20Bridge%29'&$top=10	8.65600013733	200	0	0.00011328125MB	2017-06-14 18:41:57.355000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Sempron%20M120%20Processor%202.10%20GHz%20%28Caspian%29'&$top=10	6.34700012207	200	0	0.00011328125MB	2017-06-14 18:42:03.703000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Celeron%20Processor%20950%20MHz%20%28Coppermine-128%29'&$top=10	7.6970000267	200	0	0.00011328125MB	2017-06-14 18:42:11.401000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20Processor%20X5687%203.60%20GHz%20%28Gulftown%2FWestmere-EP%29'&$top=10	8.1289999485	200	0	0.00011328125MB	2017-06-14 18:42:19.531000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Atom%20Processor%20D2500%201.86%20GHz%20%28Cedarview%29'&$top=10	6.4240000248	200	0	0.00011328125MB	2017-06-14 18:42:25.956000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Celeron%20D%20Processor%20315%202.26%20GHz%20%28Prescott-256%29'&$top=10	7.60199999809	200	0	0.00011328125MB	2017-06-14 18:42:33.559000
