Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:02:48,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:02:48,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:03:48,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:03:48,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:03:48,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:04:03,BDNA,PERMANENT,8.88,8.7,.17,98.03
2016-02-17 21:04:03,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:04:03,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:04:03,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:04:03,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:04:03,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:05:04,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:05:04,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:05:04,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:05:21,BDNA,PERMANENT,9.37,8.91,.46,95.09
2016-02-17 21:05:21,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:05:21,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:05:21,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:05:21,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:05:21,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:06:21,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:06:21,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:06:21,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:06:40,BDNA,PERMANENT,9.37,9.12,.25,97.34
2016-02-17 21:06:40,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:06:40,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:06:40,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:06:40,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:06:40,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:07:41,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:07:41,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:07:41,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:07:58,BDNA,PERMANENT,9.37,9.34,.03,99.67
2016-02-17 21:07:58,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:07:58,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:07:58,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:07:58,UNDOTBS1,UNDO,13.1,2.63,10.47,20.1
2016-02-17 21:07:58,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:08:59,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:08:59,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:08:59,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:09:15,BDNA,PERMANENT,9.86,9.55,.31,96.88
2016-02-17 21:09:15,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:09:15,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:09:15,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:09:15,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:09:15,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:10:16,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:10:16,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:10:16,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:10:32,BDNA,PERMANENT,9.86,9.8,.06,99.41
2016-02-17 21:10:33,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:10:33,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:10:33,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:10:33,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:10:33,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:11:35,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:11:35,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:11:35,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:11:53,BDNA,PERMANENT,10.44,10.11,.33,96.81
2016-02-17 21:11:53,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:11:53,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:11:53,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:11:53,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:11:53,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:12:53,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:12:53,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:12:53,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:13:09,BDNA,PERMANENT,10.83,10.3,.54,95.05
2016-02-17 21:13:09,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:13:09,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:13:09,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:13:09,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
