Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:05:42,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:05:42,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:06:02,BDNA,PERMANENT,19.72,18.99,.73,96.32
2016-02-12 11:06:02,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:06:02,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:06:02,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:06:03,UNDOTBS1,UNDO,6.1,1.06,5.04,17.31
2016-02-12 11:06:03,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:07:03,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:07:03,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:07:03,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:07:25,BDNA,PERMANENT,19.72,19.17,.55,97.19
2016-02-12 11:07:25,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:07:25,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:07:25,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:07:25,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
2016-02-12 11:07:25,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:08:25,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:08:25,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:08:25,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:08:48,BDNA,PERMANENT,19.72,19.35,.37,98.11
2016-02-12 11:08:48,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:08:48,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:08:48,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:08:48,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
2016-02-12 11:08:48,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:09:48,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:09:48,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:09:48,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:10:10,BDNA,PERMANENT,20.4,19.53,.88,95.7
2016-02-12 11:10:10,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:10:10,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:10:10,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:10:10,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
2016-02-12 11:10:10,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:11:10,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:11:10,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:11:10,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:11:32,BDNA,PERMANENT,20.4,19.69,.71,96.51
2016-02-12 11:11:32,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:11:32,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:11:32,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:11:32,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
2016-02-12 11:11:32,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:12:32,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:12:32,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:12:32,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:12:52,BDNA,PERMANENT,20.4,19.92,.49,97.62
2016-02-12 11:12:52,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:12:52,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:12:52,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:12:52,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
